['Archives West: Chris Latter Collection on Gene and Janie Harris, 1955-2003']   ['Boise (Idaho)', 'Brown, Ray, 1926-2002', 'Gene Harris Jazz Festival', 'Gene Harris Quartet', 'Gene Harris Trio', 'Harris, Gene, 1933-2000', 'Idaho--Songs and music', 'Jazz']
['Archives West: Willard A. Heath Papers, 1980-1989']   ['United Airlines', 'United States. Army. Field Artillery Battalion, 148th--History', 'World War, 1939-1945--Regimental histories--United States']
['Archives West: Parade of Idaho Music Radio Broadcasts, 1976']   ['Basques', 'Dance music--Idaho--Warren', 'Idaho--Songs and music', 'Jazz', 'Radio broadcasting--Idaho']
['Archives West: Idaho Public Health Association Records, 1987-2006']   ['Boise', 'Boise (Idaho)', 'Community organization--Idaho', 'Idaho', 'Medicine and Health', 'Public Service Employment--United States', 'Public Welfare--Idaho', 'Volunteer workers in community health services--Training of--Idaho--Boise']
['Archives West: John Caylor Papers, 1972-1983']   ['Boise State University--Faculty', 'West (U.S.)--Discovery and exploration']
['Archives West: Ethel Sales Papers, 1927-1985']   []
['Archives West: Joseph and Pauline Evans Papers, 1884-1959']   []
['Archives West: Coins of the World Collection, 1920s-1970s']   ['Coins - Collectors and collecting', 'Coins.']
['Archives West: John de Groot Papers and Collection on Ernest Hemingway, 1942-2006']   ['American drama--20th century', 'American literature--20th century', 'American literature--Idaho', 'Federal Bureau of Investigation', 'Hemingway, Ernest, 1899-1961', 'Playwriting', 'Spain--History--Civil War, 1936-1939', 'World War, 1939-1945--Cuba']
['Archives West: Penelope Reedy Papers, 1941-1996']   ['American literature--20th century', 'American literature--20th century--Idaho--Archives', 'American literature--Idaho', 'Arts--Idaho--Periodicals', 'Authors, American--20th century', 'Authors, American--Idaho', 'Idaho--Literary collections', 'Little magazines']
['Archives West: East End Neighborhood Association Records, 1946, 1966-2001']   ['Bridges--Idaho--Boise', 'Citizens’ associations--Idaho--Boise', 'City planning--Idaho--Boise', 'Indians of North America--Idaho', 'Neighborhoods--Idaho--Boise', 'Paiute Indians', 'Roads--Idaho--Boise', 'Shoshoni Indians', 'Zoning--Idaho--Boise']
["Archives West: Business and Professional Women's Club Scrapbook, 1928-1930"]   ['Businesswomen--Idaho--Meridian--Societies and club', 'Dairying--Idaho', 'Idaho State Federation of Business and Professional Women’s Clubs', 'Women--Idaho--Societies and clubs']
['Archives West: Carol Burnham Thomas Collection of Boise Junior College Memorabilia, 1939-1943']   ['Boise Junior College--Students', 'College students--Idaho', 'Dance cards--Idaho--Boise']
['Archives West: Luther T. Ellsworth Papers, 1873-1916']   []
['Archives West: Boise Futures Foundation Records, 1974-1992']   ['Boise (Idaho)--Buildings, structures, etc.', 'Boise (Idaho)--Business, industries, and trades--Taxidermy.', 'City planning--Idaho--Boise', 'Infrastructure (Economics)--Idaho--Boise--Planning.', 'Land use--Idaho--Boise', 'Public buildings--Idaho- Boise--Design and construction', 'Urban transportation--Idaho--Boise.', 'Water resources development--Idaho']
['Archives West: Charles Lauterbach Papers, 2000s']   ['Theater--History--Idaho']
['Archives West: Gladys Bowman Knight Papers, 1964-1979']   ['Bowman, Earl Wayland, 1875-1952', 'Idaho--politics']
['Archives West: Triangle Connection Records, 1989-2011']   ['Gay clubs--Idaho--Boise', 'Gays', 'Gays--Idaho--Boise']
['Archives West: Idaho Statesman Photograph Collection, 1940-1993']   ['Boise (Idaho)', 'Boise (Idaho)--Buildings, structures, etc.', 'Boise (Idaho)--History--Pictorial works', 'Boise (Idaho)--Social life and customs', 'Citizens’ associations--Idaho--Boise', 'City planning--Idaho--Boise', 'Clubs--Idaho--Boise', 'Neighborhoods--Idaho--Boise', 'Public buildings--Idaho- Boise--Design and construction', 'Urban Renewal--Idaho--Boise']
['Archives West: North End Neighborhood Association, 1976-2004']   ['Boise', 'City Planning', 'City Planning--Idaho--Boise', 'Civic Activism', 'Idaho', 'Neighborhoods--Idaho--Boise', 'Zoning--Idaho--Boise']
['Archives West: Kitty Gurnsey Papers, 1970-1997']   ['Idaho. Legislature', 'Idaho. Legislature. Joint Finance-Appropriations Committee', 'Idaho--Politics and government--20th century', 'Women legislators--Idaho']
['Archives West: William E. Borah Papers, 1902-1941']   ['Idaho--Politics and government--20th century', 'Legislators--Idaho', 'Political campaigns--Idaho', 'Republican Party (Idaho)']
['Archives West: Patricia K. Ourada Collection on Camp Downey, 1942-1988']   ['Camp Downey (Idaho)', 'Civilian Public Service Camp No. 67', 'Mennonite Central Committee', 'Mennonites--United States', 'World War, 1939-1945--Conscientious objectors--Idaho']
['Archives West: Bob Launhardt Papers, undated']   ['Mines and mineral resources--Idaho', 'Silver mines and mining--Idaho']
['Archives West: Douglas E. Flanders/"Martini" Papers, 1980-2005']   ['Drag shows--Idaho', 'Drag shows--West (U.S.)', 'Female impersonators--Idaho', 'Gay clubs--Idaho--Boise', 'Gay culture--Idaho--Boise', 'Gay rights--Idaho', 'Gays', 'Gays--Idaho', 'Idaho--Songs and music', 'Imperial Sovereign Gem Court of Idaho']
['Archives West: Thomas L. De Freitas Papers, circa 1902-1951']   ['Frontier and pioneer life--Idaho', 'Frontier and pioneer life--Nevada', 'German Americans--Poetry', 'Portuguese American poetry', 'Portuguese Americans--West (U.S.)--Biography', 'Shepherds--Idaho', 'Shepherds--Nevada', 'World War, 1914-1918--Fiction']
['Archives West: Boise City Stereographs, circa 1882-1886, 1979, 2011']   ['Boise (Idaho)--History--Pictorial works', 'Central School (Boise, Idaho)', 'Hazeltine, M. M.--(Martin Mason), 1827-1903']
['Archives West: Community Council of Greater Boise Records, 1954-1972']   ['Bishop Rhea Center, Inc.', 'Boise High School Athletic Department', 'Boise Junior League', 'Boise School Volunteers', 'Charities--Idaho', 'Community Council of Greater Boise', 'Community organization--Idaho', 'Family Service Association of America', 'Homelessness--Idaho', 'Idaho Power Company', 'Idaho State Tuberculosis Association', 'KAID-TV 4', 'KBOI Radio', 'Public Welfare--Idaho', 'Restful Manor Convalescent Home', 'Soroptimist Club of Boise', 'The Youth Service Bureau of Boise', 'United Community Funds and Councils of America']
['Archives West: Governor Cecil D. Andrus Papers, 1970-1995']   ['Conservation of natural resources--Idaho', 'Governors--Idaho', 'Idaho--Politics and government', 'Water resources development--Idaho']
['Archives West: Governor Cecil D. Andrus Papers, 1970-1995']   ['Conservation of natural resources--Idaho', 'Governors--Idaho', 'Idaho--Politics and government', 'Water resources development--Idaho']
['Archives West: Lorna Tracy Papers, 1948-2008']   ['American literature--Idaho', 'Americans--England--Correspondence', 'Bird watching', 'Dickinson, Emily, 1830-1886', 'Idaho--Literary collections', 'Silkin, Jon', 'Tracy, Paul E. (Paul Eugene), 1889-1976--Correspondence']
['Archives West: Barry Shipman Papers, 1911-1997']   []
['Archives West: LeRoy Ashby and Rod Gramer Collection on Frank Church, 1850-1993']   ['Church, Bethine C.--Interviews', 'Church, Frank--Archives', 'Church, Frank--Interviews']
['Archives West: Boise Hotline Inc. Records, 1971-1993']   ['Crisis intervention (Mental health services)--Idaho--Boise', 'Hotlines (Counseling)--Idaho--Boise', 'Idaho Hotline Association', 'Suicidal behavior--Idaho--Boise--Prevention', 'Volunteer workers in community health services--Training of--Idaho--Boise']
['Archives West: Oral Histories, 1972-2008']   ['Architecture', 'Auctioneers', 'Boise', 'Boise State University--Faculty', 'Credit Unions', 'Hummel, Charles Frederick, 1925-', 'Idaho', 'King Hill Irrigation District (Idaho)', 'Oral Histories', 'Quilting--Idaho']
['Archives West: Howard Pyle Etchings, 1902-1903']   ['Bibliophile Society (Boston, Mass.)', 'Bicknell, William Harry Warren, 1860-1947', 'etching (printing process)', 'Pyle, Howard, 1853-1911']
['Archives West: Ellen Trueblood Papers, 1925-1994']   ['Conservation of natural resources--Idaho', 'Fungi--Idaho', 'Journalists--Idaho', 'Mushrooms--Idaho', 'Mycology--Idaho', 'Southern Idaho Mycological Association', 'Trueblood, Ted, 1913-1982']
['Archives West: Boise State University Oral Histories, 1974-2007']   []
['Archives West: Idaho Arts Journal Records, 1982-1989']   ['Arts--Idaho', 'Arts--Idaho--Periodicals', 'Periodicals--Publishing--Idaho']
['Archives West: Idaho Writers in Place Interviews, 1992-1993']   ['Authors, American--Idaho--Interviews', 'Idaho Public Television', 'Idaho Writers in Place', 'Poets, American--Idaho--Interviews']
['Archives West: Idaho Authors File, 1939-2013']   ['American literature--Idaho', 'Authors, American--Idaho', 'Idaho', 'Idaho--Cultural affairs--Literature', 'Literature']
['Archives West: Ione Love Thielke Recordings and Papers, 1920, 1948-1962']   ['Idaho--Songs and music', 'Musicians--Idaho', 'Radio broadcasting--Idaho']
['Archives West: Bethine Church Papers, 1916-2013']   ['Church, Frank, 1924-1984', 'Democratic Party (Idaho)', 'Frank Church-River of No Return Wilderness (Idaho)', 'Idaho--politics', 'United States. Congress. Senate--Biography', 'Wilderness areas']
['Archives West: Helen Farrer Collection of Theatre Programs, 1892-1926']   ['Playbills', 'Plays', 'Plays--Portland, Oregon', 'Plays--Spokane, Wash.', 'Plays--The Dalles, Oregon']
['Archives West: Life History Anthropology Project Collection, 1996-2004']   ['Adoption', 'African Americans--Segregation', 'African Americans--Segregation--Idaho', 'Alcoholics--Rehabilitation', 'Belly dance', 'Bosnian Americans', 'Campus Crusade for Christ', 'Columbian Americans', 'Drug addicts--Rehabilitation', 'Gays', 'Great Depression', 'Herbal Medicine', 'Hippies', 'Homosexuality--Religious aspects', 'Homosexuality--Religious aspects--Church of Jesus Christ of Latter-day Saints', 'Lesbians', 'Lesbians--Idaho', 'Moonshining', 'Pocatello (Idaho)', 'Sewing', 'Sheep Farming', 'Spanish Americans', 'Spanish Americans--Idaho', 'Storytelling--Native American', 'Yoga']
['Archives West: Moore, Cunningham, and Bettis Family Papers, 1873-1974']   []
['Archives West: Henry K. Doll Correspondence with the Banner Mining and Milling Company, 1909-1923']   ['Mines and mineral resources--Idaho--Silver City', 'Mining districts--Idaho', 'Silver City (Idaho)']
['Archives West: Janet Davis and Larry Townsend Collection on Nell Shipman, 1986-2000']   ['Shipman, Nell, 1892-1970', 'Silent films--United States']
['Archives West: Mary Hallock Foote Letter, 1887 August 5']   ['Suffrage--United States']
['Archives West: Judith Shannon Paine Papers, 1978-1994']   ['American literature--20th century', 'American poetry--Idaho', 'Arts--Idaho--Periodicals', 'Authors, American--Idaho', 'Idaho--Literary collections', 'Little magazines', 'Poetry']
['Archives West: Elmer Keith Papers, 1984-1986']   ['Firearms', 'Hunting', 'Hunting guides--Idaho--Biography', 'Hunting--West (U.S.)']
['Archives West: Frank Church Papers, 1941-1984']   ['Abortion--Government policy--United States', 'Agriculture--Idaho', 'Alaska--History--1959-', 'Basque Americans--Idaho', 'Basques--Spain', 'Canals, Interoceanic', 'Canals--Panama', 'Civil rights--United States', 'Dam failures--Idaho', 'Dams--Idaho', 'Elections--Idaho', 'Elections--United States', 'Federal aid to education--United States', 'Firearms--Law and legislation--United States', 'Forest conservation--United States', 'Gun control--United States', 'Hawaii--History--1959-', 'Hells Canyon National Recreation Area (Oregon and Idaho)', 'Indians of North America--Government relations--1934-', 'International business enterprises--Law and legislation--United States', 'Mines and mineral resources--Idaho', 'National parks and reserves--Idaho', 'National parks and reserves--United States', 'Natural resources--Idaho', 'Older people--Government policy--United States', 'Political conventions--California', 'Political corruption--United', 'Political parties--United States', 'Presidents--United States--Election--1960', 'Presidents--United States--Election--1976', 'Rivers--Idaho', 'Sawtooth National Recreation Area (Idaho)', 'Teton Dam (Idaho)', 'Treaties', 'Vietnam War, 1961-1975', 'Watergate Affair, 1972-1974', 'Water-power--Idaho', 'Wild and scenic rivers--Law and legislation--United States', 'Wilderness conservation--United States']
['Archives West: Carolyn Foote Papers, 1970-1980']   ['American poetry--20th century', 'American poetry--Idaho', 'Espy, Willard R.', 'Humorous poetry', 'Updike, John']
